model,language,field,accuracy,n
gemma-3-12b-it,deu,accessRights,1.0,4
gemma-3-12b-it,deu,consent_status,1.0,4
gemma-3-12b-it,deu,interview_date,1.0,4
gemma-3-12b-it,deu,interviewer,1.0,4
gemma-3-12b-it,deu,language,1.0,4
gemma-3-12b-it,deu,record_id,1.0,4
gemma-3-12b-it,deu,spatial,1.0,4
gemma-3-12b-it,eng,accessRights,1.0,4
gemma-3-12b-it,eng,consent_status,1.0,4
gemma-3-12b-it,eng,interview_date,1.0,4
gemma-3-12b-it,eng,interviewer,1.0,4
gemma-3-12b-it,eng,language,1.0,4
gemma-3-12b-it,eng,record_id,1.0,4
gemma-3-12b-it,eng,spatial,1.0,4
gemma-3-12b-it,fra,accessRights,1.0,4
gemma-3-12b-it,fra,consent_status,1.0,4
gemma-3-12b-it,fra,interview_date,1.0,4
gemma-3-12b-it,fra,interviewer,1.0,4
gemma-3-12b-it,fra,language,1.0,4
gemma-3-12b-it,fra,record_id,1.0,4
gemma-3-12b-it,fra,spatial,1.0,4
gemma-3-12b-it,ita,accessRights,1.0,4
gemma-3-12b-it,ita,consent_status,1.0,4
gemma-3-12b-it,ita,interview_date,1.0,4
gemma-3-12b-it,ita,interviewer,1.0,4
gemma-3-12b-it,ita,language,1.0,4
gemma-3-12b-it,ita,record_id,1.0,4
gemma-3-12b-it,ita,spatial,1.0,4
gemma-3-12b-it,ltz,accessRights,1.0,4
gemma-3-12b-it,ltz,consent_status,1.0,4
gemma-3-12b-it,ltz,interview_date,1.0,4
gemma-3-12b-it,ltz,interviewer,1.0,4
gemma-3-12b-it,ltz,language,1.0,4
gemma-3-12b-it,ltz,record_id,1.0,4
gemma-3-12b-it,ltz,spatial,1.0,4
gemma-3-12b-it,por,accessRights,1.0,4
gemma-3-12b-it,por,consent_status,1.0,4
gemma-3-12b-it,por,interview_date,1.0,4
gemma-3-12b-it,por,interviewer,1.0,4
gemma-3-12b-it,por,language,1.0,4
gemma-3-12b-it,por,record_id,1.0,4
gemma-3-12b-it,por,spatial,1.0,4
gemma-3-12b-it,spa,accessRights,1.0,4
gemma-3-12b-it,spa,consent_status,1.0,4
gemma-3-12b-it,spa,interview_date,1.0,4
gemma-3-12b-it,spa,interviewer,1.0,4
gemma-3-12b-it,spa,language,1.0,4
gemma-3-12b-it,spa,record_id,1.0,4
gemma-3-12b-it,spa,spatial,1.0,4
mistral-7b-instruct-v0.3,deu,accessRights,1.0,4
mistral-7b-instruct-v0.3,deu,consent_status,1.0,4
mistral-7b-instruct-v0.3,deu,interview_date,1.0,4
mistral-7b-instruct-v0.3,deu,interviewer,1.0,4
mistral-7b-instruct-v0.3,deu,language,1.0,4
mistral-7b-instruct-v0.3,deu,record_id,1.0,4
mistral-7b-instruct-v0.3,deu,spatial,1.0,4
mistral-7b-instruct-v0.3,eng,accessRights,1.0,4
mistral-7b-instruct-v0.3,eng,consent_status,1.0,4
mistral-7b-instruct-v0.3,eng,interview_date,1.0,4
mistral-7b-instruct-v0.3,eng,interviewer,1.0,4
mistral-7b-instruct-v0.3,eng,language,1.0,4
mistral-7b-instruct-v0.3,eng,record_id,1.0,4
mistral-7b-instruct-v0.3,eng,spatial,1.0,4
mistral-7b-instruct-v0.3,fra,accessRights,1.0,4
mistral-7b-instruct-v0.3,fra,consent_status,1.0,4
mistral-7b-instruct-v0.3,fra,interview_date,1.0,4
mistral-7b-instruct-v0.3,fra,interviewer,1.0,4
mistral-7b-instruct-v0.3,fra,language,1.0,4
mistral-7b-instruct-v0.3,fra,record_id,1.0,4
mistral-7b-instruct-v0.3,fra,spatial,1.0,4
mistral-7b-instruct-v0.3,ita,accessRights,1.0,4
mistral-7b-instruct-v0.3,ita,consent_status,1.0,4
mistral-7b-instruct-v0.3,ita,interview_date,1.0,4
mistral-7b-instruct-v0.3,ita,interviewer,1.0,4
mistral-7b-instruct-v0.3,ita,language,1.0,4
mistral-7b-instruct-v0.3,ita,record_id,1.0,4
mistral-7b-instruct-v0.3,ita,spatial,1.0,4
mistral-7b-instruct-v0.3,ltz,accessRights,1.0,4
mistral-7b-instruct-v0.3,ltz,consent_status,1.0,4
mistral-7b-instruct-v0.3,ltz,interview_date,1.0,4
mistral-7b-instruct-v0.3,ltz,interviewer,1.0,4
mistral-7b-instruct-v0.3,ltz,language,1.0,4
mistral-7b-instruct-v0.3,ltz,record_id,1.0,4
mistral-7b-instruct-v0.3,ltz,spatial,1.0,4
mistral-7b-instruct-v0.3,por,accessRights,1.0,4
mistral-7b-instruct-v0.3,por,consent_status,1.0,4
mistral-7b-instruct-v0.3,por,interview_date,1.0,4
mistral-7b-instruct-v0.3,por,interviewer,1.0,4
mistral-7b-instruct-v0.3,por,language,1.0,4
mistral-7b-instruct-v0.3,por,record_id,1.0,4
mistral-7b-instruct-v0.3,por,spatial,1.0,4
mistral-7b-instruct-v0.3,spa,accessRights,1.0,4
mistral-7b-instruct-v0.3,spa,consent_status,1.0,4
mistral-7b-instruct-v0.3,spa,interview_date,1.0,4
mistral-7b-instruct-v0.3,spa,interviewer,1.0,4
mistral-7b-instruct-v0.3,spa,language,1.0,4
mistral-7b-instruct-v0.3,spa,record_id,1.0,4
mistral-7b-instruct-v0.3,spa,spatial,1.0,4
olmo-2-7b-instruct,deu,accessRights,1.0,4
olmo-2-7b-instruct,deu,consent_status,1.0,4
olmo-2-7b-instruct,deu,interview_date,1.0,4
olmo-2-7b-instruct,deu,interviewer,1.0,4
olmo-2-7b-instruct,deu,language,1.0,4
olmo-2-7b-instruct,deu,record_id,1.0,4
olmo-2-7b-instruct,deu,spatial,1.0,4
olmo-2-7b-instruct,eng,accessRights,1.0,4
olmo-2-7b-instruct,eng,consent_status,1.0,4
olmo-2-7b-instruct,eng,interview_date,1.0,4
olmo-2-7b-instruct,eng,interviewer,1.0,4
olmo-2-7b-instruct,eng,language,1.0,4
olmo-2-7b-instruct,eng,record_id,1.0,4
olmo-2-7b-instruct,eng,spatial,1.0,4
olmo-2-7b-instruct,fra,accessRights,1.0,4
olmo-2-7b-instruct,fra,consent_status,1.0,4
olmo-2-7b-instruct,fra,interview_date,1.0,4
olmo-2-7b-instruct,fra,interviewer,1.0,4
olmo-2-7b-instruct,fra,language,1.0,4
olmo-2-7b-instruct,fra,record_id,1.0,4
olmo-2-7b-instruct,fra,spatial,1.0,4
olmo-2-7b-instruct,ita,accessRights,1.0,4
olmo-2-7b-instruct,ita,consent_status,1.0,4
olmo-2-7b-instruct,ita,interview_date,1.0,4
olmo-2-7b-instruct,ita,interviewer,1.0,4
olmo-2-7b-instruct,ita,language,1.0,4
olmo-2-7b-instruct,ita,record_id,1.0,4
olmo-2-7b-instruct,ita,spatial,1.0,4
olmo-2-7b-instruct,ltz,accessRights,1.0,4
olmo-2-7b-instruct,ltz,consent_status,1.0,4
olmo-2-7b-instruct,ltz,interview_date,1.0,4
olmo-2-7b-instruct,ltz,interviewer,1.0,4
olmo-2-7b-instruct,ltz,language,1.0,4
olmo-2-7b-instruct,ltz,record_id,1.0,4
olmo-2-7b-instruct,ltz,spatial,1.0,4
olmo-2-7b-instruct,por,accessRights,1.0,4
olmo-2-7b-instruct,por,consent_status,1.0,4
olmo-2-7b-instruct,por,interview_date,1.0,4
olmo-2-7b-instruct,por,interviewer,1.0,4
olmo-2-7b-instruct,por,language,1.0,4
olmo-2-7b-instruct,por,record_id,1.0,4
olmo-2-7b-instruct,por,spatial,1.0,4
olmo-2-7b-instruct,spa,accessRights,1.0,4
olmo-2-7b-instruct,spa,consent_status,1.0,4
olmo-2-7b-instruct,spa,interview_date,1.0,4
olmo-2-7b-instruct,spa,interviewer,1.0,4
olmo-2-7b-instruct,spa,language,1.0,4
olmo-2-7b-instruct,spa,record_id,1.0,4
olmo-2-7b-instruct,spa,spatial,1.0,4
