n_gold,n_pred,count_diff,window_diff,pk,model,language,record_id
4,3,1,0.143,0.143,mistral-7b-instruct-v0.3,deu,2025-09-12_CDH_0001
4,3,1,0.143,0.143,mistral-7b-instruct-v0.3,deu,2025-09-13_CDH_0002
4,3,1,0.143,0.143,mistral-7b-instruct-v0.3,deu,2025-09-14_CDH_0003
4,3,1,0.143,0.143,mistral-7b-instruct-v0.3,deu,2025-09-15_CDH_0004
4,3,1,0.143,0.143,mistral-7b-instruct-v0.3,eng,2025-09-16_CDH_0005
4,3,1,0.142,0.142,mistral-7b-instruct-v0.3,eng,2025-09-17_CDH_0006
4,3,1,0.143,0.143,mistral-7b-instruct-v0.3,eng,2025-09-18_CDH_0007
4,3,1,0.142,0.142,mistral-7b-instruct-v0.3,eng,2025-09-19_CDH_0008
4,3,1,0.143,0.143,mistral-7b-instruct-v0.3,fra,2025-09-20_CDH_0009
4,3,1,0.143,0.143,mistral-7b-instruct-v0.3,fra,2025-09-21_CDH_0010
4,3,1,0.143,0.143,mistral-7b-instruct-v0.3,fra,2025-09-22_CDH_0011
4,3,1,0.143,0.143,mistral-7b-instruct-v0.3,fra,2025-09-23_CDH_0012
4,3,1,0.143,0.143,mistral-7b-instruct-v0.3,ita,2025-09-24_CDH_0013
4,3,1,0.143,0.143,mistral-7b-instruct-v0.3,ita,2025-09-25_CDH_0014
4,3,1,0.142,0.142,mistral-7b-instruct-v0.3,ita,2025-09-26_CDH_0015
4,3,1,0.143,0.143,mistral-7b-instruct-v0.3,ita,2025-09-27_CDH_0016
4,3,1,0.143,0.143,mistral-7b-instruct-v0.3,spa,2025-09-28_CDH_0017
4,3,1,0.143,0.143,mistral-7b-instruct-v0.3,spa,2025-09-29_CDH_0018
4,3,1,0.143,0.143,mistral-7b-instruct-v0.3,spa,2025-09-30_CDH_0019
4,3,1,0.143,0.143,mistral-7b-instruct-v0.3,spa,2025-10-01_CDH_0020
4,3,1,0.143,0.143,mistral-7b-instruct-v0.3,ltz,2025-10-02_CDH_0021
4,3,1,0.143,0.143,mistral-7b-instruct-v0.3,ltz,2025-10-03_CDH_0022
4,3,1,0.142,0.142,mistral-7b-instruct-v0.3,ltz,2025-10-04_CDH_0023
4,3,1,0.143,0.143,mistral-7b-instruct-v0.3,ltz,2025-10-05_CDH_0024
4,3,1,0.143,0.143,mistral-7b-instruct-v0.3,por,2025-10-06_CDH_0025
4,3,1,0.143,0.143,mistral-7b-instruct-v0.3,por,2025-10-07_CDH_0026
4,3,1,0.143,0.143,mistral-7b-instruct-v0.3,por,2025-10-08_CDH_0027
4,3,1,0.143,0.143,mistral-7b-instruct-v0.3,por,2025-10-09_CDH_0028
4,3,1,0.143,0.143,olmo-2-7b-instruct,deu,2025-09-12_CDH_0001
4,3,1,0.143,0.143,olmo-2-7b-instruct,deu,2025-09-13_CDH_0002
4,3,1,0.143,0.143,olmo-2-7b-instruct,deu,2025-09-14_CDH_0003
4,3,1,0.143,0.143,olmo-2-7b-instruct,deu,2025-09-15_CDH_0004
4,3,1,0.143,0.143,olmo-2-7b-instruct,eng,2025-09-16_CDH_0005
4,3,1,0.142,0.142,olmo-2-7b-instruct,eng,2025-09-17_CDH_0006
4,3,1,0.143,0.143,olmo-2-7b-instruct,eng,2025-09-18_CDH_0007
4,3,1,0.142,0.142,olmo-2-7b-instruct,eng,2025-09-19_CDH_0008
4,3,1,0.143,0.143,olmo-2-7b-instruct,fra,2025-09-20_CDH_0009
4,3,1,0.143,0.143,olmo-2-7b-instruct,fra,2025-09-21_CDH_0010
4,3,1,0.143,0.143,olmo-2-7b-instruct,fra,2025-09-22_CDH_0011
4,3,1,0.143,0.143,olmo-2-7b-instruct,fra,2025-09-23_CDH_0012
4,3,1,0.143,0.143,olmo-2-7b-instruct,ita,2025-09-24_CDH_0013
4,3,1,0.143,0.143,olmo-2-7b-instruct,ita,2025-09-25_CDH_0014
4,3,1,0.142,0.142,olmo-2-7b-instruct,ita,2025-09-26_CDH_0015
4,3,1,0.143,0.143,olmo-2-7b-instruct,ita,2025-09-27_CDH_0016
4,3,1,0.143,0.143,olmo-2-7b-instruct,spa,2025-09-28_CDH_0017
4,3,1,0.143,0.143,olmo-2-7b-instruct,spa,2025-09-29_CDH_0018
4,3,1,0.143,0.143,olmo-2-7b-instruct,spa,2025-09-30_CDH_0019
4,3,1,0.143,0.143,olmo-2-7b-instruct,spa,2025-10-01_CDH_0020
4,3,1,0.143,0.143,olmo-2-7b-instruct,ltz,2025-10-02_CDH_0021
4,3,1,0.143,0.143,olmo-2-7b-instruct,ltz,2025-10-03_CDH_0022
4,3,1,0.142,0.142,olmo-2-7b-instruct,ltz,2025-10-04_CDH_0023
4,3,1,0.143,0.143,olmo-2-7b-instruct,ltz,2025-10-05_CDH_0024
4,3,1,0.143,0.143,olmo-2-7b-instruct,por,2025-10-06_CDH_0025
4,3,1,0.143,0.143,olmo-2-7b-instruct,por,2025-10-07_CDH_0026
4,3,1,0.143,0.143,olmo-2-7b-instruct,por,2025-10-08_CDH_0027
4,3,1,0.143,0.143,olmo-2-7b-instruct,por,2025-10-09_CDH_0028
4,3,1,0.143,0.143,gemma-3-12b-it,deu,2025-09-12_CDH_0001
4,3,1,0.143,0.143,gemma-3-12b-it,deu,2025-09-13_CDH_0002
4,3,1,0.143,0.143,gemma-3-12b-it,deu,2025-09-14_CDH_0003
4,3,1,0.143,0.143,gemma-3-12b-it,deu,2025-09-15_CDH_0004
4,3,1,0.143,0.143,gemma-3-12b-it,eng,2025-09-16_CDH_0005
4,3,1,0.142,0.142,gemma-3-12b-it,eng,2025-09-17_CDH_0006
4,3,1,0.143,0.143,gemma-3-12b-it,eng,2025-09-18_CDH_0007
4,3,1,0.142,0.142,gemma-3-12b-it,eng,2025-09-19_CDH_0008
4,3,1,0.143,0.143,gemma-3-12b-it,fra,2025-09-20_CDH_0009
4,3,1,0.143,0.143,gemma-3-12b-it,fra,2025-09-21_CDH_0010
4,3,1,0.143,0.143,gemma-3-12b-it,fra,2025-09-22_CDH_0011
4,3,1,0.143,0.143,gemma-3-12b-it,fra,2025-09-23_CDH_0012
4,3,1,0.143,0.143,gemma-3-12b-it,ita,2025-09-24_CDH_0013
4,3,1,0.143,0.143,gemma-3-12b-it,ita,2025-09-25_CDH_0014
4,3,1,0.142,0.142,gemma-3-12b-it,ita,2025-09-26_CDH_0015
4,3,1,0.143,0.143,gemma-3-12b-it,ita,2025-09-27_CDH_0016
4,3,1,0.143,0.143,gemma-3-12b-it,spa,2025-09-28_CDH_0017
4,3,1,0.143,0.143,gemma-3-12b-it,spa,2025-09-29_CDH_0018
4,3,1,0.143,0.143,gemma-3-12b-it,spa,2025-09-30_CDH_0019
4,3,1,0.143,0.143,gemma-3-12b-it,spa,2025-10-01_CDH_0020
4,3,1,0.143,0.143,gemma-3-12b-it,ltz,2025-10-02_CDH_0021
4,3,1,0.143,0.143,gemma-3-12b-it,ltz,2025-10-03_CDH_0022
4,3,1,0.142,0.142,gemma-3-12b-it,ltz,2025-10-04_CDH_0023
4,3,1,0.143,0.143,gemma-3-12b-it,ltz,2025-10-05_CDH_0024
4,3,1,0.143,0.143,gemma-3-12b-it,por,2025-10-06_CDH_0025
4,3,1,0.143,0.143,gemma-3-12b-it,por,2025-10-07_CDH_0026
4,3,1,0.143,0.143,gemma-3-12b-it,por,2025-10-08_CDH_0027
4,3,1,0.143,0.143,gemma-3-12b-it,por,2025-10-09_CDH_0028
